INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
7144,2020-10-19,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
7144,2020-10-19,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
86562,2020-10-20,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
86562,2020-10-20,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
175074,2020-10-25,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
175074,2020-10-25,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
203231,2020-11-01,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
203231,2020-11-01,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
235167,2020-10-17,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
235167,2020-10-17,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
237182,2020-11-02,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
237182,2020-11-02,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
260616,2020-10-18,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
260616,2020-10-18,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
270351,2020-11-05,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
270351,2020-11-05,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
350140,2020-11-03,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
350140,2020-11-03,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
392430,2020-10-29,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
392430,2020-10-29,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
397077,2020-10-30,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
397077,2020-10-30,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
399223,2020-10-22,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
399223,2020-10-22,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
423446,2020-10-23,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
423446,2020-10-23,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
427452,2020-11-04,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
427452,2020-11-04,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
541283,2020-10-21,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
541283,2020-10-21,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
640847,2020-10-31,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
640847,2020-10-31,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
741454,2020-10-24,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
741454,2020-10-24,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
794563,2020-10-26,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
794563,2020-10-26,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
936178,2020-10-28,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
936178,2020-10-28,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
952696,2020-10-27,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
952696,2020-10-27,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
