INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
15433,2020-10-31,0,search for bob,product description,1.99,1.55
15433,2020-10-31,1,search for bob friend,product description new,7.99,6.55
28393,2020-10-17,0,search for bob friend,product description new,7.99,6.55
28393,2020-10-17,1,search for bob,product description,1.99,1.55
131526,2020-10-24,0,search for bob,product description,1.99,1.55
131526,2020-10-24,1,search for bob friend,product description new,7.99,6.55
212735,2020-10-30,0,search for bob,product description,1.99,1.55
212735,2020-10-30,1,search for bob friend,product description new,7.99,6.55
230326,2020-10-18,0,search for bob friend,product description new,7.99,6.55
230326,2020-10-18,1,search for bob,product description,1.99,1.55
237504,2020-10-19,0,search for bob,product description,1.99,1.55
237504,2020-10-19,1,search for bob friend,product description new,7.99,6.55
280664,2020-10-29,0,search for bob friend,product description new,7.99,6.55
280664,2020-10-29,1,search for bob,product description,1.99,1.55
381446,2020-10-23,0,search for bob friend,product description new,7.99,6.55
381446,2020-10-23,1,search for bob,product description,1.99,1.55
460687,2020-10-27,0,search for bob,product description,1.99,1.55
460687,2020-10-27,1,search for bob friend,product description new,7.99,6.55
474893,2020-10-21,0,search for bob friend,product description new,7.99,6.55
474893,2020-10-21,1,search for bob,product description,1.99,1.55
504555,2020-11-01,0,search for bob friend,product description new,7.99,6.55
504555,2020-11-01,1,search for bob,product description,1.99,1.55
572855,2020-11-02,0,search for bob,product description,1.99,1.55
572855,2020-11-02,1,search for bob friend,product description new,7.99,6.55
590241,2020-11-05,0,search for bob friend,product description new,7.99,6.55
590241,2020-11-05,1,search for bob,product description,1.99,1.55
611060,2020-10-28,0,search for bob friend,product description new,7.99,6.55
611060,2020-10-28,1,search for bob,product description,1.99,1.55
611492,2020-11-03,0,search for bob friend,product description new,7.99,6.55
611492,2020-11-03,1,search for bob,product description,1.99,1.55
676522,2020-10-25,0,search for bob friend,product description new,7.99,6.55
676522,2020-10-25,1,search for bob,product description,1.99,1.55
721445,2020-11-04,0,search for bob,product description,1.99,1.55
721445,2020-11-04,1,search for bob friend,product description new,7.99,6.55
769218,2020-10-22,0,search for bob friend,product description new,7.99,6.55
769218,2020-10-22,1,search for bob,product description,1.99,1.55
806382,2020-10-26,0,search for bob friend,product description new,7.99,6.55
806382,2020-10-26,1,search for bob,product description,1.99,1.55
838078,2020-10-20,0,search for bob friend,product description new,7.99,6.55
838078,2020-10-20,1,search for bob,product description,1.99,1.55
