INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
4431,2020-10-25,0,search for bob friend,product description new,7.99,6.55
4431,2020-10-25,1,search for bob,product description,1.99,1.55
154191,2020-10-24,0,search for bob,product description,1.99,1.55
154191,2020-10-24,1,search for bob friend,product description new,7.99,6.55
256593,2020-10-23,0,search for bob,product description,1.99,1.55
256593,2020-10-23,1,search for bob friend,product description new,7.99,6.55
312788,2020-10-18,0,search for bob,product description,1.99,1.55
312788,2020-10-18,1,search for bob friend,product description new,7.99,6.55
438924,2020-10-30,0,search for bob friend,product description new,7.99,6.55
438924,2020-10-30,1,search for bob,product description,1.99,1.55
446078,2020-10-31,0,search for bob friend,product description new,7.99,6.55
446078,2020-10-31,1,search for bob,product description,1.99,1.55
452153,2020-10-19,0,search for bob,product description,1.99,1.55
452153,2020-10-19,1,search for bob friend,product description new,7.99,6.55
548080,2020-10-17,0,search for bob,product description,1.99,1.55
548080,2020-10-17,1,search for bob friend,product description new,7.99,6.55
557795,2020-10-27,0,search for bob friend,product description new,7.99,6.55
557795,2020-10-27,1,search for bob,product description,1.99,1.55
582065,2020-10-22,0,search for bob,product description,1.99,1.55
582065,2020-10-22,1,search for bob friend,product description new,7.99,6.55
611359,2020-10-28,0,search for bob,product description,1.99,1.55
611359,2020-10-28,1,search for bob friend,product description new,7.99,6.55
637141,2020-10-29,0,search for bob,product description,1.99,1.55
637141,2020-10-29,1,search for bob friend,product description new,7.99,6.55
690531,2020-10-21,0,search for bob,product description,1.99,1.55
690531,2020-10-21,1,search for bob friend,product description new,7.99,6.55
753160,2020-11-05,0,search for bob friend,product description new,7.99,6.55
753160,2020-11-05,1,search for bob,product description,1.99,1.55
761078,2020-11-04,0,search for bob,product description,1.99,1.55
761078,2020-11-04,1,search for bob friend,product description new,7.99,6.55
819479,2020-11-03,0,search for bob,product description,1.99,1.55
819479,2020-11-03,1,search for bob friend,product description new,7.99,6.55
896321,2020-10-26,0,search for bob,product description,1.99,1.55
896321,2020-10-26,1,search for bob friend,product description new,7.99,6.55
920727,2020-11-02,0,search for bob,product description,1.99,1.55
920727,2020-11-02,1,search for bob friend,product description new,7.99,6.55
935905,2020-11-01,0,search for bob,product description,1.99,1.55
935905,2020-11-01,1,search for bob friend,product description new,7.99,6.55
938545,2020-10-20,0,search for bob,product description,1.99,1.55
938545,2020-10-20,1,search for bob friend,product description new,7.99,6.55
