INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
8525,2020-10-28,0,search for bob friend,product description new,7.99,6.55
8525,2020-10-28,1,search for bob,product description,1.99,1.55
17536,2020-10-22,0,search for bob friend,product description new,7.99,6.55
17536,2020-10-22,1,search for bob,product description,1.99,1.55
46418,2020-10-26,0,search for bob,product description,1.99,1.55
46418,2020-10-26,1,search for bob friend,product description new,7.99,6.55
59680,2020-11-03,0,search for bob friend,product description new,7.99,6.55
59680,2020-11-03,1,search for bob,product description,1.99,1.55
76946,2020-11-02,0,search for bob friend,product description new,7.99,6.55
76946,2020-11-02,1,search for bob,product description,1.99,1.55
167161,2020-10-27,0,search for bob friend,product description new,7.99,6.55
167161,2020-10-27,1,search for bob,product description,1.99,1.55
254352,2020-10-20,0,search for bob,product description,1.99,1.55
254352,2020-10-20,1,search for bob friend,product description new,7.99,6.55
318348,2020-10-31,0,search for bob friend,product description new,7.99,6.55
318348,2020-10-31,1,search for bob,product description,1.99,1.55
432307,2020-10-18,0,search for bob,product description,1.99,1.55
432307,2020-10-18,1,search for bob friend,product description new,7.99,6.55
557844,2020-11-04,0,search for bob,product description,1.99,1.55
557844,2020-11-04,1,search for bob friend,product description new,7.99,6.55
628284,2020-10-29,0,search for bob,product description,1.99,1.55
628284,2020-10-29,1,search for bob friend,product description new,7.99,6.55
638617,2020-11-01,0,search for bob friend,product description new,7.99,6.55
638617,2020-11-01,1,search for bob,product description,1.99,1.55
657114,2020-10-24,0,search for bob friend,product description new,7.99,6.55
657114,2020-10-24,1,search for bob,product description,1.99,1.55
714076,2020-10-17,0,search for bob,product description,1.99,1.55
714076,2020-10-17,1,search for bob friend,product description new,7.99,6.55
736104,2020-10-16,0,search for bob,product description,1.99,1.55
736104,2020-10-16,1,search for bob friend,product description new,7.99,6.55
831237,2020-10-19,0,search for bob friend,product description new,7.99,6.55
831237,2020-10-19,1,search for bob,product description,1.99,1.55
876589,2020-10-23,0,search for bob,product description,1.99,1.55
876589,2020-10-23,1,search for bob friend,product description new,7.99,6.55
907559,2020-10-30,0,search for bob friend,product description new,7.99,6.55
907559,2020-10-30,1,search for bob,product description,1.99,1.55
929147,2020-10-25,0,search for bob,product description,1.99,1.55
929147,2020-10-25,1,search for bob friend,product description new,7.99,6.55
993759,2020-10-21,0,search for bob friend,product description new,7.99,6.55
993759,2020-10-21,1,search for bob,product description,1.99,1.55
