INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
5843,2020-10-17,0,search_term,desc,1.99,1.0,0.99,49.75
5843,2020-10-17,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
83412,2020-10-28,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
83412,2020-10-28,1,search_term,desc,1.99,1.0,0.99,49.75
118633,2020-10-19,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
118633,2020-10-19,1,search_term,desc,1.99,1.0,0.99,49.75
127024,2020-11-04,0,search_term,desc,1.99,1.0,0.99,49.75
127024,2020-11-04,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
142692,2020-11-01,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
142692,2020-11-01,1,search_term,desc,1.99,1.0,0.99,49.75
172122,2020-10-25,0,search_term,desc,1.99,1.0,0.99,49.75
172122,2020-10-25,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
175864,2020-10-20,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
175864,2020-10-20,1,search_term,desc,1.99,1.0,0.99,49.75
223144,2020-10-21,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
223144,2020-10-21,1,search_term,desc,1.99,1.0,0.99,49.75
448308,2020-10-30,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
448308,2020-10-30,1,search_term,desc,1.99,1.0,0.99,49.75
449051,2020-10-27,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
449051,2020-10-27,1,search_term,desc,1.99,1.0,0.99,49.75
483445,2020-11-03,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
483445,2020-11-03,1,search_term,desc,1.99,1.0,0.99,49.75
552557,2020-10-22,0,search_term,desc,1.99,1.0,0.99,49.75
552557,2020-10-22,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
569618,2020-10-18,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
569618,2020-10-18,1,search_term,desc,1.99,1.0,0.99,49.75
638271,2020-10-24,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
638271,2020-10-24,1,search_term,desc,1.99,1.0,0.99,49.75
644451,2020-10-23,0,search_term,desc,1.99,1.0,0.99,49.75
644451,2020-10-23,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
734382,2020-10-31,0,search_term,desc,1.99,1.0,0.99,49.75
734382,2020-10-31,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
796791,2020-10-29,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
796791,2020-10-29,1,search_term,desc,1.99,1.0,0.99,49.75
823715,2020-11-02,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
823715,2020-11-02,1,search_term,desc,1.99,1.0,0.99,49.75
952771,2020-11-05,0,search_term,desc,1.99,1.0,0.99,49.75
952771,2020-11-05,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
985599,2020-10-26,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
985599,2020-10-26,1,search_term,desc,1.99,1.0,0.99,49.75
