INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
717786,2020-11-04,0,search for bob friend,product description new,7.99,6.55
717786,2020-11-04,1,search for bob,product description,1.99,1.55
247651,2020-11-03,0,search for bob,product description,1.99,1.55
247651,2020-11-03,1,search for bob friend,product description new,7.99,6.55
143787,2020-11-02,0,search for bob friend,product description new,7.99,6.55
143787,2020-11-02,1,search for bob,product description,1.99,1.55
603207,2020-11-01,0,search for bob,product description,1.99,1.55
603207,2020-11-01,1,search for bob friend,product description new,7.99,6.55
112226,2020-10-31,0,search for bob,product description,1.99,1.55
112226,2020-10-31,1,search for bob friend,product description new,7.99,6.55
346261,2020-10-30,0,search for bob,product description,1.99,1.55
346261,2020-10-30,1,search for bob friend,product description new,7.99,6.55
91423,2020-10-29,0,search for bob friend,product description new,7.99,6.55
91423,2020-10-29,1,search for bob,product description,1.99,1.55
887150,2020-10-28,0,search for bob,product description,1.99,1.55
887150,2020-10-28,1,search for bob friend,product description new,7.99,6.55
398711,2020-10-27,0,search for bob friend,product description new,7.99,6.55
398711,2020-10-27,1,search for bob,product description,1.99,1.55
894019,2020-10-26,0,search for bob,product description,1.99,1.55
894019,2020-10-26,1,search for bob friend,product description new,7.99,6.55
155782,2020-10-25,0,search for bob,product description,1.99,1.55
155782,2020-10-25,1,search for bob friend,product description new,7.99,6.55
520692,2020-10-24,0,search for bob friend,product description new,7.99,6.55
520692,2020-10-24,1,search for bob,product description,1.99,1.55
524215,2020-10-23,0,search for bob,product description,1.99,1.55
524215,2020-10-23,1,search for bob friend,product description new,7.99,6.55
38230,2020-10-22,0,search for bob friend,product description new,7.99,6.55
38230,2020-10-22,1,search for bob,product description,1.99,1.55
869783,2020-10-21,0,search for bob friend,product description new,7.99,6.55
869783,2020-10-21,1,search for bob,product description,1.99,1.55
437308,2020-10-20,0,search for bob friend,product description new,7.99,6.55
437308,2020-10-20,1,search for bob,product description,1.99,1.55
925820,2020-10-19,0,search for bob,product description,1.99,1.55
925820,2020-10-19,1,search for bob friend,product description new,7.99,6.55
856243,2020-10-18,0,search for bob,product description,1.99,1.55
856243,2020-10-18,1,search for bob friend,product description new,7.99,6.55
391052,2020-10-17,0,search for bob,product description,1.99,1.55
391052,2020-10-17,1,search for bob friend,product description new,7.99,6.55
177313,2020-10-16,0,search for bob,product description,1.99,1.55
177313,2020-10-16,1,search for bob friend,product description new,7.99,6.55
