INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
46073,2020-11-05,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
46073,2020-11-05,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
50066,2020-10-25,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
50066,2020-10-25,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
156071,2020-10-28,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
156071,2020-10-28,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
201912,2020-10-22,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
201912,2020-10-22,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
271190,2020-10-18,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
271190,2020-10-18,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
297011,2020-10-19,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
297011,2020-10-19,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
308366,2020-10-30,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
308366,2020-10-30,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
324969,2020-10-20,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
324969,2020-10-20,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
353712,2020-10-24,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
353712,2020-10-24,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
430302,2020-10-29,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
430302,2020-10-29,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
517069,2020-11-01,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
517069,2020-11-01,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
609047,2020-11-02,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
609047,2020-11-02,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
658504,2020-10-17,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
658504,2020-10-17,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
664796,2020-10-23,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
664796,2020-10-23,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
676461,2020-10-31,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
676461,2020-10-31,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
695411,2020-11-04,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
695411,2020-11-04,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
763066,2020-10-27,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
763066,2020-10-27,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
780301,2020-10-21,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
780301,2020-10-21,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
808848,2020-10-26,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
808848,2020-10-26,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
988705,2020-11-03,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
988705,2020-11-03,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
