INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
15127,2020-11-05,0,search for bob friend,product description new,7.99,6.55
15127,2020-11-05,1,search for bob,product description,1.99,1.55
36806,2020-10-22,0,search for bob,product description,1.99,1.55
36806,2020-10-22,1,search for bob friend,product description new,7.99,6.55
111002,2020-11-03,0,search for bob,product description,1.99,1.55
111002,2020-11-03,1,search for bob friend,product description new,7.99,6.55
223862,2020-10-28,0,search for bob friend,product description new,7.99,6.55
223862,2020-10-28,1,search for bob,product description,1.99,1.55
224284,2020-10-18,0,search for bob friend,product description new,7.99,6.55
224284,2020-10-18,1,search for bob,product description,1.99,1.55
279206,2020-10-29,0,search for bob friend,product description new,7.99,6.55
279206,2020-10-29,1,search for bob,product description,1.99,1.55
297504,2020-10-20,0,search for bob friend,product description new,7.99,6.55
297504,2020-10-20,1,search for bob,product description,1.99,1.55
342807,2020-10-30,0,search for bob,product description,1.99,1.55
342807,2020-10-30,1,search for bob friend,product description new,7.99,6.55
377199,2020-10-19,0,search for bob,product description,1.99,1.55
377199,2020-10-19,1,search for bob friend,product description new,7.99,6.55
392397,2020-10-27,0,search for bob friend,product description new,7.99,6.55
392397,2020-10-27,1,search for bob,product description,1.99,1.55
392427,2020-10-26,0,search for bob friend,product description new,7.99,6.55
392427,2020-10-26,1,search for bob,product description,1.99,1.55
432542,2020-10-25,0,search for bob,product description,1.99,1.55
432542,2020-10-25,1,search for bob friend,product description new,7.99,6.55
455415,2020-10-24,0,search for bob friend,product description new,7.99,6.55
455415,2020-10-24,1,search for bob,product description,1.99,1.55
473987,2020-10-31,0,search for bob,product description,1.99,1.55
473987,2020-10-31,1,search for bob friend,product description new,7.99,6.55
517560,2020-11-01,0,search for bob,product description,1.99,1.55
517560,2020-11-01,1,search for bob friend,product description new,7.99,6.55
542217,2020-10-23,0,search for bob,product description,1.99,1.55
542217,2020-10-23,1,search for bob friend,product description new,7.99,6.55
580204,2020-10-21,0,search for bob,product description,1.99,1.55
580204,2020-10-21,1,search for bob friend,product description new,7.99,6.55
729363,2020-11-02,0,search for bob,product description,1.99,1.55
729363,2020-11-02,1,search for bob friend,product description new,7.99,6.55
802308,2020-10-17,0,search for bob,product description,1.99,1.55
802308,2020-10-17,1,search for bob friend,product description new,7.99,6.55
910146,2020-11-04,0,search for bob,product description,1.99,1.55
910146,2020-11-04,1,search for bob friend,product description new,7.99,6.55
