INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
36145,2020-10-26,0,search for bob,product description,1.99,1.55
36145,2020-10-26,1,search for bob friend,product description new,7.99,6.55
59417,2020-10-24,0,search for bob,product description,1.99,1.55
59417,2020-10-24,1,search for bob friend,product description new,7.99,6.55
128248,2020-10-18,0,search for bob friend,product description new,7.99,6.55
128248,2020-10-18,1,search for bob,product description,1.99,1.55
187016,2020-11-03,0,search for bob friend,product description new,7.99,6.55
187016,2020-11-03,1,search for bob,product description,1.99,1.55
220661,2020-11-02,0,search for bob friend,product description new,7.99,6.55
220661,2020-11-02,1,search for bob,product description,1.99,1.55
222872,2020-10-19,0,search for bob,product description,1.99,1.55
222872,2020-10-19,1,search for bob friend,product description new,7.99,6.55
283234,2020-10-25,0,search for bob,product description,1.99,1.55
283234,2020-10-25,1,search for bob friend,product description new,7.99,6.55
305652,2020-11-01,0,search for bob,product description,1.99,1.55
305652,2020-11-01,1,search for bob friend,product description new,7.99,6.55
410346,2020-10-27,0,search for bob,product description,1.99,1.55
410346,2020-10-27,1,search for bob friend,product description new,7.99,6.55
444024,2020-10-20,0,search for bob friend,product description new,7.99,6.55
444024,2020-10-20,1,search for bob,product description,1.99,1.55
459763,2020-10-31,0,search for bob friend,product description new,7.99,6.55
459763,2020-10-31,1,search for bob,product description,1.99,1.55
537983,2020-10-16,0,search for bob friend,product description new,7.99,6.55
537983,2020-10-16,1,search for bob,product description,1.99,1.55
539350,2020-10-28,0,search for bob friend,product description new,7.99,6.55
539350,2020-10-28,1,search for bob,product description,1.99,1.55
602247,2020-10-23,0,search for bob,product description,1.99,1.55
602247,2020-10-23,1,search for bob friend,product description new,7.99,6.55
669538,2020-10-30,0,search for bob,product description,1.99,1.55
669538,2020-10-30,1,search for bob friend,product description new,7.99,6.55
748783,2020-10-29,0,search for bob friend,product description new,7.99,6.55
748783,2020-10-29,1,search for bob,product description,1.99,1.55
813537,2020-10-21,0,search for bob friend,product description new,7.99,6.55
813537,2020-10-21,1,search for bob,product description,1.99,1.55
864334,2020-10-22,0,search for bob,product description,1.99,1.55
864334,2020-10-22,1,search for bob friend,product description new,7.99,6.55
891885,2020-10-17,0,search for bob friend,product description new,7.99,6.55
891885,2020-10-17,1,search for bob,product description,1.99,1.55
960965,2020-11-04,0,search for bob,product description,1.99,1.55
960965,2020-11-04,1,search for bob friend,product description new,7.99,6.55
