INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
7417,2020-10-27,0,search for bob,product description,1.99,1.55
7417,2020-10-27,1,search for bob friend,product description new,7.99,6.55
49814,2020-10-31,0,search for bob,product description,1.99,1.55
49814,2020-10-31,1,search for bob friend,product description new,7.99,6.55
172118,2020-10-18,0,search for bob,product description,1.99,1.55
172118,2020-10-18,1,search for bob friend,product description new,7.99,6.55
287429,2020-10-26,0,search for bob,product description,1.99,1.55
287429,2020-10-26,1,search for bob friend,product description new,7.99,6.55
347031,2020-10-23,0,search for bob,product description,1.99,1.55
347031,2020-10-23,1,search for bob friend,product description new,7.99,6.55
379975,2020-10-22,0,search for bob,product description,1.99,1.55
379975,2020-10-22,1,search for bob friend,product description new,7.99,6.55
428858,2020-10-19,0,search for bob friend,product description new,7.99,6.55
428858,2020-10-19,1,search for bob,product description,1.99,1.55
509461,2020-10-24,0,search for bob friend,product description new,7.99,6.55
509461,2020-10-24,1,search for bob,product description,1.99,1.55
520767,2020-11-05,0,search for bob,product description,1.99,1.55
520767,2020-11-05,1,search for bob friend,product description new,7.99,6.55
576177,2020-10-25,0,search for bob,product description,1.99,1.55
576177,2020-10-25,1,search for bob friend,product description new,7.99,6.55
582441,2020-10-29,0,search for bob,product description,1.99,1.55
582441,2020-10-29,1,search for bob friend,product description new,7.99,6.55
660683,2020-11-02,0,search for bob,product description,1.99,1.55
660683,2020-11-02,1,search for bob friend,product description new,7.99,6.55
708504,2020-10-20,0,search for bob,product description,1.99,1.55
708504,2020-10-20,1,search for bob friend,product description new,7.99,6.55
719394,2020-10-30,0,search for bob friend,product description new,7.99,6.55
719394,2020-10-30,1,search for bob,product description,1.99,1.55
721530,2020-10-21,0,search for bob friend,product description new,7.99,6.55
721530,2020-10-21,1,search for bob,product description,1.99,1.55
722052,2020-10-28,0,search for bob friend,product description new,7.99,6.55
722052,2020-10-28,1,search for bob,product description,1.99,1.55
738073,2020-11-03,0,search for bob,product description,1.99,1.55
738073,2020-11-03,1,search for bob friend,product description new,7.99,6.55
783240,2020-11-01,0,search for bob friend,product description new,7.99,6.55
783240,2020-11-01,1,search for bob,product description,1.99,1.55
878738,2020-10-17,0,search for bob,product description,1.99,1.55
878738,2020-10-17,1,search for bob friend,product description new,7.99,6.55
879345,2020-11-04,0,search for bob friend,product description new,7.99,6.55
879345,2020-11-04,1,search for bob,product description,1.99,1.55
