INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
119091,2020-10-25,0,search for bob friend,product description new,7.99,6.55
119091,2020-10-25,1,search for bob,product description,1.99,1.55
127374,2020-10-22,0,search for bob,product description,1.99,1.55
127374,2020-10-22,1,search for bob friend,product description new,7.99,6.55
133747,2020-10-18,0,search for bob,product description,1.99,1.55
133747,2020-10-18,1,search for bob friend,product description new,7.99,6.55
153717,2020-10-23,0,search for bob,product description,1.99,1.55
153717,2020-10-23,1,search for bob friend,product description new,7.99,6.55
245702,2020-10-26,0,search for bob friend,product description new,7.99,6.55
245702,2020-10-26,1,search for bob,product description,1.99,1.55
286951,2020-10-27,0,search for bob friend,product description new,7.99,6.55
286951,2020-10-27,1,search for bob,product description,1.99,1.55
288669,2020-10-17,0,search for bob friend,product description new,7.99,6.55
288669,2020-10-17,1,search for bob,product description,1.99,1.55
347749,2020-10-24,0,search for bob,product description,1.99,1.55
347749,2020-10-24,1,search for bob friend,product description new,7.99,6.55
392099,2020-10-20,0,search for bob friend,product description new,7.99,6.55
392099,2020-10-20,1,search for bob,product description,1.99,1.55
478769,2020-11-01,0,search for bob friend,product description new,7.99,6.55
478769,2020-11-01,1,search for bob,product description,1.99,1.55
486053,2020-10-28,0,search for bob friend,product description new,7.99,6.55
486053,2020-10-28,1,search for bob,product description,1.99,1.55
651749,2020-10-29,0,search for bob friend,product description new,7.99,6.55
651749,2020-10-29,1,search for bob,product description,1.99,1.55
761281,2020-11-02,0,search for bob,product description,1.99,1.55
761281,2020-11-02,1,search for bob friend,product description new,7.99,6.55
796003,2020-10-19,0,search for bob,product description,1.99,1.55
796003,2020-10-19,1,search for bob friend,product description new,7.99,6.55
837723,2020-11-03,0,search for bob,product description,1.99,1.55
837723,2020-11-03,1,search for bob friend,product description new,7.99,6.55
846236,2020-10-31,0,search for bob,product description,1.99,1.55
846236,2020-10-31,1,search for bob friend,product description new,7.99,6.55
874186,2020-11-04,0,search for bob,product description,1.99,1.55
874186,2020-11-04,1,search for bob friend,product description new,7.99,6.55
947640,2020-10-30,0,search for bob,product description,1.99,1.55
947640,2020-10-30,1,search for bob friend,product description new,7.99,6.55
961337,2020-11-05,0,search for bob,product description,1.99,1.55
961337,2020-11-05,1,search for bob friend,product description new,7.99,6.55
965673,2020-10-21,0,search for bob,product description,1.99,1.55
965673,2020-10-21,1,search for bob friend,product description new,7.99,6.55
