INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
103444,2020-11-01,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
103444,2020-11-01,1,search_term,desc,1.99,1.0,0.99,49.75
172647,2020-10-29,0,search_term,desc,1.99,1.0,0.99,49.75
172647,2020-10-29,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
237641,2020-11-05,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
237641,2020-11-05,1,search_term,desc,1.99,1.0,0.99,49.75
265514,2020-10-31,0,search_term,desc,1.99,1.0,0.99,49.75
265514,2020-10-31,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
268377,2020-11-02,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
268377,2020-11-02,1,search_term,desc,1.99,1.0,0.99,49.75
369496,2020-11-04,0,search_term,desc,1.99,1.0,0.99,49.75
369496,2020-11-04,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
381114,2020-10-17,0,search_term,desc,1.99,1.0,0.99,49.75
381114,2020-10-17,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
437495,2020-10-27,0,search_term,desc,1.99,1.0,0.99,49.75
437495,2020-10-27,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
450858,2020-10-30,0,search_term,desc,1.99,1.0,0.99,49.75
450858,2020-10-30,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
507900,2020-10-26,0,search_term,desc,1.99,1.0,0.99,49.75
507900,2020-10-26,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
589725,2020-10-21,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
589725,2020-10-21,1,search_term,desc,1.99,1.0,0.99,49.75
598806,2020-10-18,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
598806,2020-10-18,1,search_term,desc,1.99,1.0,0.99,49.75
631167,2020-10-23,0,search_term,desc,1.99,1.0,0.99,49.75
631167,2020-10-23,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
665809,2020-10-20,0,search_term,desc,1.99,1.0,0.99,49.75
665809,2020-10-20,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
752508,2020-10-24,0,search_term,desc,1.99,1.0,0.99,49.75
752508,2020-10-24,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
768693,2020-10-22,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
768693,2020-10-22,1,search_term,desc,1.99,1.0,0.99,49.75
770686,2020-10-19,0,search_term,desc,1.99,1.0,0.99,49.75
770686,2020-10-19,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
813998,2020-10-25,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
813998,2020-10-25,1,search_term,desc,1.99,1.0,0.99,49.75
902766,2020-10-28,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
902766,2020-10-28,1,search_term,desc,1.99,1.0,0.99,49.75
951040,2020-11-03,0,search_term,desc,1.99,1.0,0.99,49.75
951040,2020-11-03,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
