INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
23137,2020-10-19,0,search for bob,product description,1.99,1.55
23137,2020-10-19,1,search for bob friend,product description new,7.99,6.55
58278,2020-10-18,0,search for bob friend,product description new,7.99,6.55
58278,2020-10-18,1,search for bob,product description,1.99,1.55
72014,2020-10-26,0,search for bob friend,product description new,7.99,6.55
72014,2020-10-26,1,search for bob,product description,1.99,1.55
165088,2020-10-30,0,search for bob,product description,1.99,1.55
165088,2020-10-30,1,search for bob friend,product description new,7.99,6.55
172948,2020-10-23,0,search for bob,product description,1.99,1.55
172948,2020-10-23,1,search for bob friend,product description new,7.99,6.55
196749,2020-11-04,0,search for bob friend,product description new,7.99,6.55
196749,2020-11-04,1,search for bob,product description,1.99,1.55
269373,2020-11-01,0,search for bob friend,product description new,7.99,6.55
269373,2020-11-01,1,search for bob,product description,1.99,1.55
284539,2020-10-21,0,search for bob,product description,1.99,1.55
284539,2020-10-21,1,search for bob friend,product description new,7.99,6.55
306030,2020-10-24,0,search for bob friend,product description new,7.99,6.55
306030,2020-10-24,1,search for bob,product description,1.99,1.55
311709,2020-10-31,0,search for bob,product description,1.99,1.55
311709,2020-10-31,1,search for bob friend,product description new,7.99,6.55
318307,2020-10-25,0,search for bob,product description,1.99,1.55
318307,2020-10-25,1,search for bob friend,product description new,7.99,6.55
396064,2020-10-28,0,search for bob friend,product description new,7.99,6.55
396064,2020-10-28,1,search for bob,product description,1.99,1.55
459479,2020-11-02,0,search for bob friend,product description new,7.99,6.55
459479,2020-11-02,1,search for bob,product description,1.99,1.55
524271,2020-10-22,0,search for bob,product description,1.99,1.55
524271,2020-10-22,1,search for bob friend,product description new,7.99,6.55
691780,2020-10-29,0,search for bob,product description,1.99,1.55
691780,2020-10-29,1,search for bob friend,product description new,7.99,6.55
692750,2020-11-05,0,search for bob,product description,1.99,1.55
692750,2020-11-05,1,search for bob friend,product description new,7.99,6.55
842387,2020-11-03,0,search for bob,product description,1.99,1.55
842387,2020-11-03,1,search for bob friend,product description new,7.99,6.55
920850,2020-10-27,0,search for bob,product description,1.99,1.55
920850,2020-10-27,1,search for bob friend,product description new,7.99,6.55
942181,2020-10-17,0,search for bob friend,product description new,7.99,6.55
942181,2020-10-17,1,search for bob,product description,1.99,1.55
971795,2020-10-20,0,search for bob,product description,1.99,1.55
971795,2020-10-20,1,search for bob friend,product description new,7.99,6.55
