INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE,INVOICE_LINE_DOLLAR_MARGIN,INVOICE_LINE_PERCENT_MARGIN
129917,2020-10-17,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
129917,2020-10-17,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
182971,2020-10-25,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
182971,2020-10-25,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
206380,2020-10-29,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
206380,2020-10-29,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
269759,2020-11-01,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
269759,2020-11-01,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
308228,2020-11-02,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
308228,2020-11-02,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
535212,2020-10-21,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
535212,2020-10-21,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
544097,2020-11-03,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
544097,2020-11-03,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
590094,2020-10-20,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
590094,2020-10-20,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
594008,2020-10-19,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
594008,2020-10-19,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
599986,2020-10-31,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
599986,2020-10-31,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
611098,2020-10-27,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
611098,2020-10-27,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
636974,2020-10-30,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
636974,2020-10-30,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
641360,2020-10-22,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
641360,2020-10-22,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
704171,2020-10-28,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
704171,2020-10-28,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
764356,2020-11-05,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
764356,2020-11-05,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
770684,2020-10-23,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
770684,2020-10-23,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
804288,2020-11-04,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
804288,2020-11-04,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
852451,2020-10-26,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
852451,2020-10-26,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
875702,2020-10-18,0,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
875702,2020-10-18,1,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
886048,2020-10-24,0,search for bob,product description,1.99,1.55,0.43999999999999995,22.11
886048,2020-10-24,1,search for bob friend,product description new,7.99,6.55,1.4400000000000004,18.02
