INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
43130,2020-10-22,0,search for bob friend,product description new,7.99,6.55
43130,2020-10-22,1,search for bob,product description,1.99,1.55
71546,2020-10-21,0,search for bob friend,product description new,7.99,6.55
71546,2020-10-21,1,search for bob,product description,1.99,1.55
179340,2020-10-26,0,search for bob friend,product description new,7.99,6.55
179340,2020-10-26,1,search for bob,product description,1.99,1.55
257360,2020-11-01,0,search for bob friend,product description new,7.99,6.55
257360,2020-11-01,1,search for bob,product description,1.99,1.55
266161,2020-10-30,0,search for bob,product description,1.99,1.55
266161,2020-10-30,1,search for bob friend,product description new,7.99,6.55
288046,2020-10-19,0,search for bob,product description,1.99,1.55
288046,2020-10-19,1,search for bob friend,product description new,7.99,6.55
338124,2020-10-27,0,search for bob friend,product description new,7.99,6.55
338124,2020-10-27,1,search for bob,product description,1.99,1.55
340106,2020-11-05,0,search for bob friend,product description new,7.99,6.55
340106,2020-11-05,1,search for bob,product description,1.99,1.55
518278,2020-10-25,0,search for bob,product description,1.99,1.55
518278,2020-10-25,1,search for bob friend,product description new,7.99,6.55
525433,2020-10-29,0,search for bob friend,product description new,7.99,6.55
525433,2020-10-29,1,search for bob,product description,1.99,1.55
572783,2020-10-18,0,search for bob,product description,1.99,1.55
572783,2020-10-18,1,search for bob friend,product description new,7.99,6.55
645376,2020-10-20,0,search for bob,product description,1.99,1.55
645376,2020-10-20,1,search for bob friend,product description new,7.99,6.55
709544,2020-10-23,0,search for bob friend,product description new,7.99,6.55
709544,2020-10-23,1,search for bob,product description,1.99,1.55
796791,2020-10-28,0,search for bob,product description,1.99,1.55
796791,2020-10-28,1,search for bob friend,product description new,7.99,6.55
797078,2020-10-31,0,search for bob friend,product description new,7.99,6.55
797078,2020-10-31,1,search for bob,product description,1.99,1.55
826516,2020-10-17,0,search for bob friend,product description new,7.99,6.55
826516,2020-10-17,1,search for bob,product description,1.99,1.55
849232,2020-11-02,0,search for bob friend,product description new,7.99,6.55
849232,2020-11-02,1,search for bob,product description,1.99,1.55
861087,2020-11-03,0,search for bob,product description,1.99,1.55
861087,2020-11-03,1,search for bob friend,product description new,7.99,6.55
910458,2020-10-24,0,search for bob,product description,1.99,1.55
910458,2020-10-24,1,search for bob friend,product description new,7.99,6.55
958968,2020-11-04,0,search for bob,product description,1.99,1.55
958968,2020-11-04,1,search for bob friend,product description new,7.99,6.55
