INVOICE_NUMBER,INVOICE_DATE,INVOICE_LINE_NUMBER,INVOICE_LINE_PRODUCT_NAME,INVOICE_LINE_PRODUCT_DESCRIPTION,INVOICE_LINE_PRODUCT_WEB_SELLING_PRICE,INVOICE_LINE_PRODUCT_CALCULATED_COST_PRICE
6436,2020-10-26,0,search for bob friend,product description new,7.99,6.55
6436,2020-10-26,1,search for bob,product description,1.99,1.55
96942,2020-10-29,0,search for bob friend,product description new,7.99,6.55
96942,2020-10-29,1,search for bob,product description,1.99,1.55
343898,2020-11-05,0,search for bob friend,product description new,7.99,6.55
343898,2020-11-05,1,search for bob,product description,1.99,1.55
357201,2020-10-19,0,search for bob,product description,1.99,1.55
357201,2020-10-19,1,search for bob friend,product description new,7.99,6.55
405136,2020-10-17,0,search for bob,product description,1.99,1.55
405136,2020-10-17,1,search for bob friend,product description new,7.99,6.55
420052,2020-11-03,0,search for bob friend,product description new,7.99,6.55
420052,2020-11-03,1,search for bob,product description,1.99,1.55
427494,2020-10-25,0,search for bob friend,product description new,7.99,6.55
427494,2020-10-25,1,search for bob,product description,1.99,1.55
506979,2020-11-02,0,search for bob,product description,1.99,1.55
506979,2020-11-02,1,search for bob friend,product description new,7.99,6.55
580354,2020-11-01,0,search for bob friend,product description new,7.99,6.55
580354,2020-11-01,1,search for bob,product description,1.99,1.55
584403,2020-10-22,0,search for bob,product description,1.99,1.55
584403,2020-10-22,1,search for bob friend,product description new,7.99,6.55
659531,2020-10-30,0,search for bob,product description,1.99,1.55
659531,2020-10-30,1,search for bob friend,product description new,7.99,6.55
685843,2020-10-23,0,search for bob,product description,1.99,1.55
685843,2020-10-23,1,search for bob friend,product description new,7.99,6.55
747373,2020-10-28,0,search for bob friend,product description new,7.99,6.55
747373,2020-10-28,1,search for bob,product description,1.99,1.55
786015,2020-10-21,0,search for bob friend,product description new,7.99,6.55
786015,2020-10-21,1,search for bob,product description,1.99,1.55
787596,2020-11-04,0,search for bob,product description,1.99,1.55
787596,2020-11-04,1,search for bob friend,product description new,7.99,6.55
803239,2020-10-18,0,search for bob friend,product description new,7.99,6.55
803239,2020-10-18,1,search for bob,product description,1.99,1.55
831966,2020-10-27,0,search for bob,product description,1.99,1.55
831966,2020-10-27,1,search for bob friend,product description new,7.99,6.55
858576,2020-10-24,0,search for bob,product description,1.99,1.55
858576,2020-10-24,1,search for bob friend,product description new,7.99,6.55
896062,2020-10-20,0,search for bob,product description,1.99,1.55
896062,2020-10-20,1,search for bob friend,product description new,7.99,6.55
919346,2020-10-31,0,search for bob friend,product description new,7.99,6.55
919346,2020-10-31,1,search for bob,product description,1.99,1.55
